STATION_COMPLEX_ID,STATION_COMPLEX,BOROUGH,LATITUDE,LONGITUDE,TOTAL_RIDERSHIP,TOTAL_TRANSFERS,DAYS_ACTIVE,AVG_DAILY_RIDERSHIP
430,"Simpson St (2,5)",Bronx,40.824074,-73.89307,21503.0,1763.0,11,1954.82
176,Lafayette Av (C),Brooklyn,40.68611,-73.973946,21489.0,335.0,11,1953.55
144,Dyckman St (A),Manhattan,40.86549,-73.92727,21486.0,153.0,10,2148.6
46,Cortelyou Rd (Q),Brooklyn,40.640926,-73.96389,21450.0,145.0,11,1950.0
210,Norwood-205 St (D),Bronx,40.87481,-73.87885,21412.0,1359.0,11,1946.55
627,"Franklin Av (C,S)",Brooklyn,40.68138,-73.95685,21344.0,870.0,11,1940.36
378,Woodlawn (4),Bronx,40.886036,-73.87875,21174.0,4712.0,11,1924.91
292,Fulton St (G),Brooklyn,40.68712,-73.97537,21126.0,219.0,11,1920.55
241,"15 St-Prospect Park (F,G)",Brooklyn,40.660366,-73.97949,20928.0,1703.0,11,1902.55
96,Kosciuszko St (J),Brooklyn,40.69334,-73.92882,20864.0,639.0,11,1896.73
441,"Central Park North (110 St) (2,3)",Manhattan,40.799076,-73.95182,20837.0,842.0,10,2083.7
107,"Broad St (J,Z)",Manhattan,40.706474,-74.011055,20824.0,350.0,11,1893.09
77,Kings Hwy (N),Brooklyn,40.603924,-73.980354,20402.0,1137.0,11,1854.73
59,9 Av (D),Brooklyn,40.646294,-73.99432,20300.0,933.0,11,1845.45
298,207 St (1),Manhattan,40.86462,-73.91882,20290.0,1758.0,11,1844.55
242,"Fort Hamilton Pkwy (F,G)",Brooklyn,40.650784,-73.97578,20050.0,83.0,11,1822.73
346,Sutter Av-Rutland Rd (3),Brooklyn,40.66472,-73.92261,20045.0,1133.0,11,1822.27
421,"Gun Hill Rd (2,5)",Bronx,40.87785,-73.86626,20026.0,1488.0,11,1820.55
354,"Sterling St (2,5)",Brooklyn,40.662743,-73.95085,19926.0,182.0,11,1811.45
94,Halsey St (J),Brooklyn,40.68637,-73.91656,19657.0,451.0,11,1787.0
109,Fresh Pond Rd (M),Queens,40.706184,-73.895874,19572.0,720.0,11,1779.27
360,Pelham Bay Park (6),Bronx,40.852463,-73.82812,19504.0,4429.0,11,1773.09
211,"Bedford Park Blvd (B,D)",Bronx,40.873245,-73.88714,19482.0,1006.0,11,1771.09
432,"Prospect Av (2,5)",Bronx,40.819584,-73.90177,19052.0,520.0,11,1732.0
39,Bay Ridge-95 St (R),Brooklyn,40.616623,-74.030876,19043.0,442.0,11,1731.18
183,Rockaway Av (C),Brooklyn,40.67834,-73.91195,18936.0,343.0,11,1721.45
37,77 St (R),Brooklyn,40.62974,-74.02551,18904.0,467.0,11,1718.55
20,"City Hall (R,W)",Manhattan,40.713284,-74.00698,18876.0,69.0,11,1716.0
